time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
24.294,-0.0662,1.0000,0.0000,6,160.33,0.8217,0.0062,10129.7,0.0,1.52279,3.34736,5.30224,9.25013,16.8417,28.6189,45.6635,95.3884,143.088,150.282,155.55,159.934,165.193,170.385,178.596,85.3531,51.073,32.9755,15.3618
24.318,-0.0596,1.0000,0.0000,6,160.86,0.8225,0.0128,10160.2,0.0,1.52576,3.3978,5.45123,9.75756,18.6936,34.5593,63.1765,139.577,147.741,153.308,157.852,161.794,166.643,171.512,132.552,81.2553,49.6084,32.3852,15.2701
24.344,-0.0536,1.0000,0.0000,6,161.40,0.8223,0.0187,10189.9,0.0,1.53654,3.46256,5.62162,10.3162,20.8458,42.6769,96.7449,144.515,150.593,155.387,159.486,163.126,167.673,172.293,123.759,77.8998,48.3551,31.8639,15.1824
24.362,-0.0483,1.0000,0.0000,6,161.94,0.8212,0.0238,10219.2,0.0,1.55509,3.54235,5.81526,10.9311,23.3531,54.2362,136.116,147.363,152.535,156.856,160.647,164.062,168.376,172.797,116.837,75.0984,47.2667,31.3973,15.0973
24.387,-0.0434,1.0000,0.0000,6,162.48,0.8190,0.0285,10248.5,0.0,1.58112,3.63698,6.03214,11.6027,26.2619,71.5507,140.561,149.25,153.884,157.879,161.443,164.686,168.813,173.071,111.241,72.7315,46.3135,30.9764,15.0139
24.406,-0.0391,1.0000,0.0000,6,163.02,0.8160,0.0325,10278.0,0.0,1.61437,3.74637,6.27254,12.3321,29.6269,99.5789,143.021,150.538,154.809,158.564,161.95,165.056,169.033,173.154,106.634,70.7065,45.4704,30.5931,14.9316
24.431,-0.0352,1.0000,0.0000,6,163.56,0.8122,0.0362,10307.9,0.0,1.65424,3.86977,6.53594,13.1207,33.5247,131.32,144.622,151.418,155.422,158.99,162.235,165.227,169.077,173.083,102.757,68.9441,44.7137,30.2394,14.8496
24.450,-0.0317,1.0000,0.0000,6,164.10,0.8076,0.0395,10338.3,0.0,1.70063,4.00744,6.82335,13.9724,38.052,135.195,145.706,151.999,155.795,159.212,162.34,165.238,168.979,172.885,99.436,67.3874,44.0253,29.9087,14.7671
24.475,-0.0285,1.0000,0.0000,6,164.64,0.8024,0.0424,10369.0,0.0,1.75291,4.15832,7.1336,14.8874,43.3213,137.247,146.437,152.351,155.981,159.272,162.301,165.117,168.764,125.901,96.5423,65.9933,43.3918,29.5965,14.6839
24.493,-0.0256,1.0000,0.0000,6,165.18,0.7964,0.0451,10400.1,0.0,1.81069,4.32158,7.46514,15.8613,49.4174,138.537,146.893,152.512,156.005,159.19,162.135,164.88,168.444,121.638,94.0084,64.7406,42.8071,29.3009,14.6
