time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
16.997,0.0000,1.0000,0.0000,1,11.43,0.3327,0.0089,5236.0,0.0,5.7129,12.6911,22.9764,138.4450,89.8182,76.4637,70.8637,66.6061,63.8708,61.3559,59.0358,56.8890,54.1395,51.3149,46.7646,39.6813,30.7901,22.6326,11.2096
17.196,0.0000,1.0000,0.0000,2,19.98,0.3314,0.0089,5249.4,0.0,5.7240,12.7776,23.8276,136.4630,88.5297,75.3662,69.8465,65.6499,62.9537,60.4749,58.1879,56.0719,53.3619,50.5775,46.0926,39.1303,30.4314,22.4473,11.1987
17.396,0.0000,1.0000,0.0000,2,25.20,0.3296,0.0088,5236.0,0.0,5.7395,12.9344,25.4136,133.7030,86.7375,73.8400,68.4319,64.3202,61.6786,59.2498,57.0092,54.9360,52.2807,49.5528,45.1586,38.3609,29.9242,22.1770,11.1827
17.600,0.0000,1.0000,0.0000,2,31.82,0.3272,0.0089,5236.0,0.0,5.7598,13.2101,29.0265,130.0860,84.3916,71.8432,66.5813,62.5808,60.0107,57.6477,55.4676,53.4504,50.8673,48.2129,43.9377,37.3484,29.2467,21.8024,11.1458
17.801,0.0000,1.0000,0.0000,2,38.33,0.3309,-0.0127,5236.0,0.0,5.6066,12.5263,24.3170,162.4500,95.5981,79.3474,72.7698,67.8588,64.7437,61.9062,59.3116,56.9297,53.9063,50.8302,45.9397,38.5946,30.1699,22.4217,11.3571
18.000,0.0000,1.0000,0.0000,2,44.91,0.3366,-0.0134,5575.6,0.0,5.5822,12.8992,29.3925,157.7900,92.5246,76.7296,70.3442,65.5792,62.5581,59.8076,57.2927,54.9851,52.0560,49.0774,44.3436,37.2386,29.2349,21.8998,11.3020
18.203,0.0000,1.0000,0.0000,2,52.55,0.3411,-0.0058,7043.8,0.0,5.6332,13.6391,65.2732,150.7640,88.3746,73.2819,67.1812,62.6289,59.7429,57.1153,54.7130,52.5084,49.7106,46.8654,42.3439,35.5580,28.0323,21.1837,11.1654
18.402,0.1472,1.0000,0.0000,3,56.90,0.3423,-0.0028,5440.0,0.0,5.6405,13.7700,47.4762,184.0290,96.8870,78.2248,70.9549,65.6284,62.2940,59.2862,56.5597,54.0768,50.9519,47.8038,42.8611,35.5794,27.8429,21.0716,11.1448
18.609,0.0000,1.0000,0.0000,3,62.70,0.3485,0.0015,5984.7,0.0,5.6126,13.8592,40.8283,197.0930,110.4430,85.7818,76.6715,70.1629,66.1574,62.5891,59.3902,56.5065,52.9163,49.3423,43.8171,35.8620,27.6659,20.9685,11.1506
18.827,0.0901,1.0000,0.0000,3,69.50,0.3385,0.0280,6745.6,0.0,5.8666,15.8860,53.9120,191.2970,103.4270,80.3144,71.7789,65.6816,61.9295,58.5874,55.5913,52.8907,49.5285,46.1818,41.0084,33.5607,25.8884,19.7645,10.8144
19.049,0.0000,1.0000,0.0000,3,77.05,0.3342,-0.0141,7666.2,0.0,5.6448,13.3739,26.5308,95.7323,197.5720,179.0730,148.9920,123.5190,110.0850,99.2930,90.4347,83.0334,74.5061,66.6909,55.7555,42.0549,29.9725,21.5791,11.1943
19.268,0.0000,1.0000,0.0000,4,85.33,0.3313,0.0154,6958.3,0.0,5.8500,14.9427,29.4565,99.4366,193.3580,176.0260,149.6600,122.8450,108.9160,97.8303,88.7990,81.3000,72.7126,64.8912,54.0246,40.5361,28.7552,20.6337,10.8755
19.487,0.1197,1.0000,0.0000,4,89.49,0.3021,0.0489,6918.1,0.0,6.3459,16.7092,32.7464,107.5540,187.8020,170.8140,145.3240,118.7140,104.9920,94.1196,85.2936,77.9864,69.6426,62.0651,51.5717,38.6024,27.3252,19.5778,10.3486
19.708,0.0000,1.0000,0.0000,4,95.31,0.2713,0.0133,7401.6,0.0,6.2669,13.9697,22.4336,40.2350,77.3973,144.1300,195.2520,190.0610,186.2600,182.1170,177.5130,172.2300,162.5630,134.0660,91.8896,56.4807,34.5316,22.5605,10.6469
19.931,0.0000,1.0000,0.0000,4,101.70,0.2569,0.0113,7901.1,0.0,6.3774,14.1586,22.6462,40.2850,76.2056,137.8070,189.6790,184.6140,180.9780,177.0420,172.7120,167.8250,159.3180,137.4180,93.1069,56.6816,34.4482,22.4315,10.5472
20.149,0.0000,1.0000,0.0000,4,108.52,0.2447,0.0113,8458.7,0.0,6.4822,14.3914,23.0185,40.9474,77.4591,140.3650,182.8280,177.9450,174.4190,170.6170,166.4560,161.7980,153.8580,136.0810,92.2015,56.1306,34.1133,22.2134,10.4447
20.371,0.0000,1.0000,0.0000,4,115.83,0.2318,0.0113,9059.4,0.0,6.5928,14.6370,23.4114,41.6462,78.7809,181.2340,175.5180,170.8280,167.4210,163.7620,159.7820,155.3620,147.9820,134.3150,91.2468,55.5493,33.7601,21.9834,10.3366
20.593,0.0000,1.0000,0.0000,5,122.23,0.2181,0.0113,8594.6,0.0,6.7108,14.8988,23.8301,42.3911,80.1902,173.1850,167.7240,163.2360,159.9570,156.4530,152.6620,148.4920,141.6620,130.3980,90.2290,54.9297,33.3835,21.7382,10.2213
20.807,0.0000,1.0000,0.0000,5,127.34,0.2038,0.0113,8827.7,0.0,6.8332,15.1706,24.2650,43.1650,81.6552,164.8170,159.6200,155.3400,152.1970,148.8530,145.2590,141.3400,135.0400,125.4120,89.1707,54.2859,32.9924,21.4836,10.1016
21.028,0.0000,1.0000,0.0000,5,133.73,0.1888,0.0113,9277.7,0.0,6.9619,15.4564,24.7222,43.9785,83.1948,156.0330,151.1120,147.0480,144.0490,140.8750,137.4860,133.8240,128.0400,119.6980,88.0587,53.6092,32.5812,21.2159,9.9757
