timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
200.048,-0.05557,0.81306,0.00000,1,16.2759,-0.1271,0.33035,0.01547,5236.0,0.0,5.7722,13.0442,25.1225,128.5390,85.3366,73.1199,67.9502,64.0011,61.4556,59.1092,56.9395,54.9273,52.3446,49.6838,45.3823,38.5982,30.0335,22.1837,11.1177,14.8065,14.9538,18.3148,18.3148,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.068,-0.05557,0.99998,0.00000,1,17.0901,-0.1325,0.32998,0.01613,5236.0,0.0,5.7792,13.0879,25.4554,127.5130,84.8394,72.7388,67.6139,63.6972,61.1717,58.8430,56.6895,54.6919,52.1271,49.4842,45.2103,38.4614,29.9393,22.1290,11.1076,15.5492,15.7036,17.8307,17.8307,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.089,-0.05557,0.85006,0.00000,2,17.8978,-0.1385,0.32959,0.01682,5236.0,0.0,5.7867,13.1343,25.8255,126.4570,84.3252,72.3440,67.2650,63.3819,60.8769,58.5669,56.4299,54.4474,51.9012,49.2766,45.0310,38.3188,29.8410,22.0718,11.0969,16.2834,16.4447,19.6137,19.6137,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.109,-0.05557,0.99998,0.00000,2,18.2242,-0.1513,0.32917,0.01751,5249.4,0.0,5.7945,13.1826,26.2310,125.3990,83.8064,71.9447,66.9124,63.0627,60.5784,58.2871,56.1668,54.1991,51.6717,49.0659,44.8488,38.1735,29.7409,22.0135,11.0860,16.5733,16.7378,15.7687,15.9001,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.129,-0.05557,0.99998,0.00000,2,18.1877,-0.1570,0.32873,0.01820,5264.2,0.0,5.8025,13.2320,26.6691,124.3560,83.2920,71.5485,66.5616,62.7452,60.2815,58.0084,55.9046,53.9520,51.4432,48.8559,44.6671,38.0286,29.6410,21.9551,11.0749,16.5868,16.7479,15.9045,16.0610,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.147,-0.05557,0.99998,0.00000,2,18.1939,-0.1581,0.32827,0.01889,5236.0,0.0,5.8106,13.2825,27.1459,123.3290,82.7833,71.1556,66.2138,62.4300,59.9868,57.7318,55.6444,53.7066,51.2161,48.6468,44.4863,37.8844,29.5413,21.8967,11.0637,16.6152,16.7712,16.0028,16.1423,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.170,-0.05557,0.99998,0.00000,2,18.7237,-0.1587,0.32780,0.01958,5236.0,0.0,5.8189,13.3342,27.6730,122.3120,82.2767,70.7641,65.8669,62.1152,59.6923,57.4554,55.3842,53.4610,50.9888,48.4377,44.3053,37.7397,29.4412,21.8380,11.0524,17.0541,17.2161,18.3800,18.3800,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.190,-0.05557,0.99998,0.00000,2,19.4008,-0.1611,0.32730,0.02030,5236.0,0.0,5.8276,13.3891,28.2836,121.2650,81.7533,70.3592,65.5076,61.7899,59.3875,57.1691,55.1146,53.2066,50.7533,48.2211,44.1175,37.5896,29.3376,21.7771,11.0407,17.6768,17.8444,18.7420,18.7420,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.209,-0.05557,0.99998,0.00000,2,20.0753,-0.1658,0.32677,0.02103,5236.0,0.0,5.8366,13.4466,29.0018,120.2070,81.2206,69.9460,65.1414,61.4571,59.0760,56.8766,54.8393,52.9466,50.5124,47.9993,43.9251,37.4357,29.2313,21.7145,11.0285,18.2926,18.4630,19.1339,19.1339,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.228,-0.05557,0.99998,0.00000,2,20.7424,-0.1711,0.32621,0.02178,5236.0,0.0,5.8460,13.5069,29.8744,119.1400,80.6812,69.5270,64.7691,61.1192,58.7593,56.5791,54.5588,52.6818,50.2672,47.7732,43.7289,37.2785,29.1223,21.6504,11.0160,18.8994,19.0725,19.6265,19.6265,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
