time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
1.364,0.0,0.9999999999999976,0.0,3,59.1163,-0.00133459,0.365496,54.0245,54.0236,110.962,110.962,0.31753,0.27273,0.0105408,11491.5,0.0,5.94015,15.2173,200.0,116.457,75.5264,64.2908,59.5799,55.9986,53.6978,51.5824,49.631,47.8256,45.5132,43.1376,39.3112,33.4482,26.5389,20.1777,10.8127,-1.0,-1.0,-1.0,-1.0,-1.0
1.384,0.0,0.9999999999999982,0.0,3,60.0722,-0.00144537,0.394567,54.8985,54.8975,112.26,112.26,0.316887,0.608233,0.0127205,11625.4,0.0,5.95991,15.3829,200.0,115.712,75.0426,63.8789,59.198,55.6395,53.3536,51.2517,49.3128,47.5188,45.2214,42.861,39.059,33.2336,26.3857,20.081,10.7866,-1.0,-1.0,-1.0,-1.0,-1.0
1.404,0.0,0.9999999999999987,0.0,3,61.0342,-0.00164401,0.424567,55.7744,55.7734,113.47,113.47,0.316109,0.949104,0.0149342,11750.2,0.0,5.98123,15.5591,200.0,114.957,74.5516,63.4605,58.8105,55.2752,53.0042,50.9159,48.9898,47.2073,44.9251,42.5799,38.8029,33.0156,26.2295,19.982,10.7593,-1.0,-1.0,-1.0,-1.0,-1.0
1.424,0.0,0.999999999999999,0.0,3,62.0013,-0.00189843,0.451688,56.6532,56.6521,114.608,114.608,0.315196,1.29538,0.0171823,11867.7,0.0,6.00409,15.746,200.0,114.19,74.0533,63.0361,58.4168,54.9052,52.6492,50.575,48.6617,46.8912,44.6241,42.2947,38.5429,32.7943,26.0704,19.8806,10.7307,-1.0,-1.0,-1.0,-1.0,-1.0
1.444,0.0,0.9999999999999992,0.0,3,62.5298,-0.0025682,0.202319,57.2557,57.2527,121.775,121.775,0.314135,1.64574,0.0194507,12623.4,0.0,6.02855,15.9439,200.0,113.422,73.552,62.6086,58.0203,54.5324,52.2915,50.2315,48.3309,46.5725,44.3206,42.007,38.2805,32.5709,25.9092,19.7773,10.7009,-1.0,-1.0,-1.0,-1.0,-1.0
1.464,0.0,0.9999999999999994,0.0,3,63.3935,-0.00420222,0.140396,57.956,57.9524,124.483,124.483,0.31293,1.99999,0.0217359,12896.2,0.0,6.05458,16.1531,200.0,112.655,73.0489,62.1791,57.6219,54.1574,51.9319,49.8858,47.9983,46.2517,44.0151,41.7172,38.0163,32.3456,25.7459,19.6723,10.67,-1.0,-1.0,-1.0,-1.0,-1.0
1.484,0.0,0.9999999999999996,0.0,3,64.3076,-0.00539457,0.110157,58.7705,58.7675,126.458,126.458,0.311572,2.35927,0.0240554,13096.8,0.0,6.08242,16.3759,200.0,111.873,72.5377,61.7429,57.2173,53.7768,51.5665,49.5346,47.6602,45.9258,43.705,41.4232,37.748,32.1171,25.5797,19.5649,10.6377,-1.0,-1.0,-1.0,-1.0,-1.0
1.504,0.0,0.9999999999999997,0.0,3,65.2727,-0.0063564,0.109756,59.6321,59.6293,127.74,127.74,0.310048,2.72376,0.0264092,13226.1,0.0,6.11215,16.6136,200.0,111.08,72.0183,61.2998,56.8061,53.3902,51.1956,49.1782,47.3169,45.5951,43.3899,41.1245,37.4756,31.885,25.4101,19.4548,10.6039,-1.0,-1.0,-1.0,-1.0,-1.0
1.524,0.0,0.9999999999999998,0.0,3,66.2761,-0.00725983,0.131027,60.533,60.53,128.484,128.484,0.308362,3.09377,0.028798,13301.0,0.0,6.14375,16.8671,200.0,110.275,71.4915,60.8501,56.389,52.9979,50.8193,48.8165,46.9688,45.2595,43.0704,40.8214,37.1991,31.6494,25.2376,19.3423,10.5687,-1.0,-1.0,-1.0,-1.0,-1.0
1.544,0.0,0.9999999999999998,0.0,3,67.301,-0.00823999,0.163437,61.4601,61.4566,128.919,128.919,0.306498,3.46941,0.0312216,13344.9,0.0,6.17749,17.1381,200.0,109.459,70.9573,60.3942,55.966,52.5997,50.4375,48.4495,46.6156,44.9189,42.7461,40.5139,36.9186,31.4105,25.0618,19.227,10.532,-1.0,-1.0,-1.0,-1.0,-1.0
1.564,0.0,0.9999999999999998,0.0,3,68.3285,-0.00946308,0.214029,62.4143,62.4357,129.27,129.27,0.304454,3.85083,0.0336785,13381.4,0.0,6.21329,17.4279,200.0,108.635,70.4165,59.9323,55.5375,52.1965,50.0507,48.0777,46.2578,44.5735,42.4174,40.2021,36.6343,31.1681,24.8826,19.1091,10.4938,-1.0,-1.0,-1.0,-1.0,-1.0
1.584,0.0,0.9999999999999998,0.0,3,69.3503,-0.0117922,0.315547,63.3958,63.3892,129.677,129.677,0.302216,4.23791,0.0361597,13424.0,0.0,6.25129,17.7377,200.0,107.811,69.873,59.4674,55.1059,51.7905,49.6607,47.7027,45.8966,44.2256,42.0857,39.8874,36.347,30.923,24.701,18.989,10.454,-1.0,-1.0,-1.0,-1.0,-1.0
1.604,0.0,0.9999999999999998,0.0,3,70.364,-0.0155695,0.398066,64.3196,64.3093,130.219,130.219,0.299779,4.63064,0.0386604,13481.0,0.0,6.29153,18.0685,200.0,106.993,69.3287,59.001,54.6724,51.382,49.2686,47.3256,45.5333,43.8751,41.7517,39.5704,36.0574,30.6758,24.5167,18.8665,10.4127,-1.0,-1.0,-1.0,-1.0,-1.0
1.624,0.0,0.9999999999999998,0.0,3,71.3612,-0.0207048,0.452558,65.227,65.2137,130.99,130.99,0.297145,5.02893,0.0411795,13562.0,0.0,6.33402,18.4227,200.0,106.182,68.7844,58.5335,54.2375,50.972,48.8746,46.9466,45.1681,43.5226,41.4157,39.2514,35.7657,30.4263,24.3301,18.7419,10.3699,-1.0,-1.0,-1.0,-1.0,-1.0
1.644,0.0,0.9999999999999998,0.0,3,72.3445,-0.0265757,0.483617,66.1213,66.1058,131.959,131.959,0.294296,5.43268,0.0437205,13663.2,0.0,6.37892,18.8027,200.0,105.371,68.2377,58.0631,53.7995,50.5591,48.4778,46.5646,44.7998,43.1673,41.0768,38.9293,35.4713,30.1744,24.1406,18.6149,10.3255,-1.0,-1.0,-1.0,-1.0,-1.0
1.664,0.0,0.9999999999999998,0.0,3,73.3191,-0.0329576,0.495087,67.0052,66.9877,133.06,133.06,0.291232,5.84182,0.0462842,13777.7,0.0,6.42632,19.212,200.0,104.56,67.6879,57.5895,53.3585,50.143,48.0778,46.1795,44.4286,42.8088,40.7347,38.6044,35.174,29.9199,23.9485,18.4853,10.2794,-1.0,-1.0,-1.0,-1.0,-1.0
1.684,0.0,0.9999999999999998,0.0,3,74.2888,-0.0399386,0.491754,67.8848,67.865,134.238,134.238,0.287944,6.25633,0.0488691,13899.8,0.0,6.47633,19.6533,200.0,103.75,67.1358,57.1132,52.9145,49.7239,47.6749,45.7915,44.0545,42.4473,40.39,38.2767,34.8741,29.6629,23.7536,18.3534,10.2317,-1.0,-1.0,-1.0,-1.0,-1.0
1.704,0.0,0.9999999999999998,0.0,3,75.2565,-0.0477138,0.479202,68.765,68.7421,135.452,135.452,0.284429,6.67615,0.0514725,14025.7,0.0,6.52893,20.1304,200.0,102.944,66.5822,56.6348,52.4683,49.3026,47.2697,45.4012,43.6779,42.0838,40.0429,37.9467,34.5717,29.4037,23.5561,18.2191,10.1823,-1.0,-1.0,-1.0,-1.0,-1.0
1.724,0.0,0.9999999999999998,0.0,3,76.3251,-0.0529214,0.541357,69.6895,69.6689,135.307,135.307,0.280675,7.10145,0.0541318,14000.7,0.0,6.58462,20.6536,200.0,102.102,66.0105,56.1423,52.0096,48.8699,46.8537,45.0007,43.2919,41.7111,39.6873,37.6089,34.2625,29.139,23.3538,18.081,10.1308,-1.0,-1.0,-1.0,-1.0,-1.0
1.744,0.0,0.9999999999999998,0.0,3,77.4275,-0.0587685,0.625031,70.6954,70.6681,134.588,134.588,0.276675,7.53273,0.0568121,13926.3,0.0,6.6432,21.2252,200.0,101.262,65.4373,55.6475,51.5484,48.4346,46.435,44.5974,42.9029,41.3354,39.3289,37.2682,33.9508,28.8717,23.1486,17.9403,10.0776,-1.0,-1.0,-1.0,-1.0,-1.0
1.764,0.0,0.9999999999999998,0.0,3,78.5121,-0.0667983,0.6986,71.7036,71.6686,134.067,134.067,0.27242,7.97003,0.0595047,13874.3,0.0,6.70474,21.8514,200.0,100.436,64.8659,55.1529,51.0869,47.9986,46.0156,44.1932,42.5129,40.9586,38.969,36.9259,33.6371,28.6026,22.9409,17.7973,10.0225,-1.0,-1.0,-1.0,-1.0,-1.0
1.784,0.0,0.9999999999999998,0.0,3,79.5542,-0.0767934,0.74538,72.6846,72.6442,134.106,134.106,0.267896,8.41325,0.0622087,13882.1,0.0,6.76941,22.542,200.0,99.6211,64.2962,54.6584,50.625,47.5616,45.5951,43.7878,42.1214,40.5803,38.6076,36.5819,33.3216,28.3316,22.7306,17.6517,9.96551,-1.0,-1.0,-1.0,-1.0,-1.0
1.804,0.0,0.9999999999999998,0.0,3,80.552,-0.0882998,0.764077,73.6219,73.5767,134.768,134.768,0.263107,8.86202,0.0649245,13953.0,0.0,6.83716,23.3089,200.0,98.8164,63.7277,54.1637,50.1624,47.1236,45.1733,43.381,41.7287,40.2004,38.2445,36.2363,33.0044,28.0585,22.5177,17.5037,9.90672,-1.0,-1.0,-1.0,-1.0,-1.0
1.824,0.0,0.9999999999999998,0.0,3,81.5215,-0.101118,0.793138,74.5539,74.523,135.801,135.801,0.258046,9.31611,0.0676473,14061.3,0.0,6.90813,24.1098,200.0,98.0249,63.1617,53.6698,49.6998,46.6856,44.7511,42.9737,41.335,39.8197,37.8804,35.8894,32.6856,27.784,22.3025,17.3534,9.8461,-1.0,-1.0,-1.0,-1.0,-1.0
1.844,0.0,0.9999999999999998,0.0,3,82.4862,-0.117482,0.856395,75.468,75.4066,136.936,136.936,0.252701,9.77543,0.070354,14178.7,0.0,6.98224,24.9061,200.0,97.2691,62.6073,53.1828,49.243,46.2521,44.3328,42.5696,40.9443,39.4416,37.5183,35.5441,32.368,27.5098,22.0859,17.2014,9.78371,-1.0,-1.0,-1.0,-1.0,-1.0
1.864,0.0,0.9999999999999998,0.0,3,83.4561,-0.137667,0.908294,76.3495,76.2773,138.024,138.024,0.24707,10.2399,0.0730431,14290.9,0.0,7.05955,25.6969,200.0,96.549,62.0647,52.7035,48.792,45.8234,43.9188,42.1693,40.5568,39.066,37.1584,35.2006,32.0513,27.2354,21.868,17.0476,9.71958,-1.0,-1.0,-1.0,-1.0,-1.0
1.884,0.0,0.9999999999999998,0.0,3,84.4327,-0.160973,0.94678,77.233,77.1507,139.025,139.025,0.241155,10.7097,0.0757176,14394.0,0.0,7.14006,26.4816,200.0,95.8624,61.5327,52.2309,48.3463,45.399,43.5083,41.7721,40.172,38.6927,36.8005,34.8584,31.7352,26.9612,21.6487,16.8921,9.65368,-1.0,-1.0,-1.0,-1.0,-1.0
1.904,0.0,0.9999999999999998,0.0,3,85.4144,-0.187287,0.973427,78.1228,78.0298,139.955,139.955,0.234932,11.1847,0.0783754,14490.1,0.0,7.2241,27.2592,200.0,95.2099,61.0112,51.7645,47.9052,44.9785,43.1013,41.3777,39.7894,38.3216,36.4439,34.5174,31.4198,26.6867,21.4276,16.7346,9.5859,-1.0,-1.0,-1.0,-1.0,-1.0
1.924,0.0,0.9999999999999998,0.0,3,86.3995,-0.216925,0.987125,79.0152,78.9105,140.84,140.84,0.228409,11.665,0.0810114,14581.4,0.0,7.31146,28.0268,200.0,94.5971,60.5024,51.306,47.4709,44.5632,42.6988,40.9871,39.4106,37.9533,36.0899,34.1784,31.1056,26.4126,21.2051,16.5754,9.51629,-1.0,-1.0,-1.0,-1.0,-1.0
1.944,0.0,0.9999999999999998,0.0,3,87.3952,-0.250221,0.997545,79.9128,79.7951,141.593,141.593,0.221568,12.1505,0.0836244,14655.1,0.0,7.40246,28.7838,200.0,94.0235,60.0061,50.8555,47.0423,44.1527,42.3005,40.6004,39.0346,37.5879,35.738,33.8409,30.7925,26.1385,20.9811,16.4142,9.44478,-1.0,-1.0,-1.0,-1.0,-1.0
1.964,0.0,0.9999999999999998,0.0,3,88.4946,-0.280847,1.07641,80.8709,80.7458,140.892,140.892,0.214406,12.6417,0.0862605,14577.6,0.0,7.49752,29.5402,200.0,93.4444,59.5034,50.3992,46.6086,43.7372,41.8973,40.2088,38.6541,37.2177,35.3818,33.4994,30.4754,25.8612,20.7532,16.2496,9.37096,-1.0,-1.0,-1.0,-1.0,-1.0
1.984,0.0,0.9999999999999998,0.0,3,89.6021,-0.316601,1.15522,81.8863,81.7419,139.987,139.987,0.206914,13.1387,0.0888556,14484.3,0.0,7.59619,30.2793,200.0,92.9268,59.0214,49.9561,46.1855,43.3306,41.502,39.8243,38.2799,36.8533,35.0304,33.1618,30.1611,25.5852,20.5244,16.0835,9.29531,-1.0,-1.0,-1.0,-1.0,-1.0
2.006,0.0,0.9999999999999998,0.0,3,90.7958,-0.36274,1.22284,83.0026,82.8353,139.271,139.271,0.19828,13.6922,0.0916534,14412.6,0.0,7.709,31.0686,200.0,92.4365,58.5176,49.4861,45.734,42.8951,41.0776,39.4106,37.8764,36.4599,34.6501,32.7957,29.8193,25.2836,20.2721,15.8991,9.20986,-1.0,-1.0,-1.0,-1.0,-1.0
2.028,0.0,0.9999999999999998,0.0,3,91.9365,-0.416654,1.25607,84.0889,83.8975,139.25,139.25,0.189227,14.2526,0.0943781,14413.8,0.0,7.82619,31.828,200.0,92.0433,58.0463,49.0375,45.3002,42.4746,40.6662,39.0087,37.4835,36.0759,34.278,32.4366,29.4827,24.9849,20.0205,15.7132,9.12219,4.87354,4.87955,4.88712,4.89624,4.90695
