time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
275.745,-0.0913,1.0000,0.0000,1,7.99,0.3327,0.0115,5236.0,0.0,5.7282,12.7826,23.3009,135.3330,88.6436,75.6651,70.2023,66.0410,63.3639,60.8999,58.6245,56.5173,53.8161,51.0375,46.5556,39.5310,30.6712,22.5479,11.1806
275.944,-0.0913,1.0000,0.0000,1,16.45,0.3296,0.0198,5236.0,0.0,5.8045,13.2475,26.4955,123.3550,83.0471,71.4437,66.5061,62.7229,60.2793,58.0231,55.9338,53.9938,51.4995,48.9256,44.7554,38.1071,29.6825,21.9665,11.0650
276.146,-0.0913,1.0000,0.0000,2,25.26,0.3226,0.0359,7270.4,0.0,5.9654,14.3305,200.0000,105.0700,73.9116,64.4224,60.3094,57.1271,55.0570,53.1357,51.3476,49.6797,47.5245,45.2876,41.6351,35.5926,27.9320,20.9194,10.8412
276.346,-0.0913,1.0000,0.0000,2,31.85,0.3078,0.0540,5236.0,0.0,6.2178,16.2067,200.0000,88.6925,64.8963,57.2701,53.9061,51.2790,49.5582,47.9527,46.4514,45.0446,43.2179,41.3106,38.1433,32.7354,25.9264,19.6856,10.5418
276.548,-0.0913,1.0000,0.0000,2,38.44,0.2830,0.0749,5236.0,0.0,6.5986,19.9009,159.3460,73.8766,56.0334,50.0400,47.3517,45.2326,43.8355,42.5252,41.2940,40.1350,38.6224,37.0272,34.2732,29.5664,23.6723,18.2511,10.1341
276.749,0.0000,1.0000,0.0000,2,45.01,0.2481,0.0874,5586.3,0.0,7.0785,26.5991,128.7920,64.7051,49.9594,44.8891,42.5952,40.7783,39.5762,38.4458,37.3809,36.3760,35.0589,33.6397,31.1873,27.0171,21.8117,17.0084,9.7039
276.949,0.3860,1.0000,0.0000,2,52.63,0.2079,0.0900,7164.8,0.0,7.5978,42.7860,121.6730,60.6277,46.7223,41.9528,39.7969,38.0903,36.9616,35.9004,34.9012,33.9585,32.7251,31.4059,29.1321,25.2794,20.4860,16.0626,9.2945
277.148,0.0000,1.0000,0.0000,3,58.03,0.1853,0.0200,5536.7,0.0,7.1870,19.9359,200.0000,117.2100,72.0204,60.4294,55.6665,52.0828,49.7976,47.7079,45.7898,44.0230,41.7723,39.4731,35.7976,30.2319,23.8224,18.0354,9.6672
277.347,0.0000,1.0000,0.0000,3,63.72,0.1674,0.0419,6078.4,0.0,7.5344,23.5648,200.0000,109.1870,67.0170,56.2155,51.7787,48.4411,46.3130,44.3672,42.5814,40.9369,38.8417,36.7015,33.2812,28.1026,22.2770,17.0332,9.3452
277.556,0.0000,1.0000,0.0000,3,70.18,0.1444,0.0257,6843.2,0.0,7.6033,22.0226,80.2660,184.2930,88.8699,69.5280,62.3120,57.1327,53.9354,51.0807,48.5166,46.2008,43.3122,40.4306,35.9635,29.5064,22.8215,17.2799,9.2934
