timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
385.600,0.00000,0.99998,0.00000,1,9.5090,-0.0011,0.33297,0.00273,1206.9,0.0,5.6754,12.4595,21.9961,147.2440,93.2740,78.8922,72.9159,68.3932,65.4975,62.8416,60.3971,58.1401,55.2560,52.3008,47.5570,40.2656,31.2167,22.9036,11.2799,8.0261,8.2075,7.4798,10.3663,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.620,0.00000,0.99998,0.00000,1,9.8668,0.0002,0.33295,0.00276,1252.8,0.0,5.6758,12.4643,22.0395,147.0660,93.1735,78.8099,72.8409,68.3236,65.4313,62.7785,60.3367,58.0824,55.2015,52.2495,47.5110,40.2280,31.1923,22.8912,11.2794,8.9091,7.1106,10.6954,7.8278,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.642,0.00000,0.99998,0.00000,1,10.2141,0.0025,0.33292,0.00274,1293.0,0.0,5.6759,12.4675,22.0765,146.9610,93.1012,78.7470,72.7824,68.2683,65.3782,62.7274,60.2874,58.0347,55.1561,52.2063,47.4714,40.1951,31.1713,22.8808,11.2793,8.7975,8.6385,8.1649,10.9597,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.656,0.00000,0.99998,0.00000,1,10.5813,-0.0004,0.33290,0.00274,1329.7,0.0,5.6761,12.4713,22.1177,146.8310,93.0173,78.6761,72.7165,68.2067,65.3191,62.6704,60.2327,57.9819,55.1062,52.1588,47.4282,40.1595,31.1483,22.8693,11.2792,7.6343,10.0225,11.1982,8.4680,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.676,0.00000,0.99998,0.00000,1,10.9537,0.0005,0.33287,0.00271,1375.6,0.0,5.6762,12.4743,22.1561,146.7370,92.9473,78.6140,72.6584,68.1514,65.2656,62.6189,60.1829,57.9337,55.0597,52.1146,47.3875,40.1255,31.1268,22.8586,11.2793,7.5718,9.7932,8.8003,11.5408,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.697,0.00000,0.99998,0.00000,1,11.3027,-0.0013,0.33284,0.00275,1418.5,0.0,5.6766,12.4803,22.2091,146.5290,92.8300,78.5183,72.5712,68.0705,65.1887,62.5457,60.1130,57.8666,54.9965,52.0552,47.3342,40.0822,31.0984,22.8440,11.2786,9.6381,9.1233,11.8215,9.1609,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.718,0.00000,0.99998,0.00000,1,11.6651,0.0001,0.33281,0.00276,1452.7,0.0,5.6769,12.4853,22.2581,146.3700,92.7315,78.4355,72.4948,67.9992,65.1204,62.4802,60.0500,57.8061,54.9391,52.0010,47.2849,40.0417,31.0722,22.8306,11.2783,10.9827,8.5407,9.4743,12.0172,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.739,0.00000,0.99998,0.00000,1,12.0149,-0.0008,0.33278,0.00278,1500.0,0.0,5.6773,12.4912,22.3134,146.1730,92.6165,78.3405,72.4077,67.9183,65.0433,62.4065,59.9796,57.7385,54.8752,51.9410,47.2308,39.9974,31.0432,22.8158,11.2777,11.4347,9.7695,12.3872,9.7981,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.759,0.00000,0.99998,0.00000,1,12.3955,-0.0002,0.33275,0.00274,1546.5,0.0,5.6774,12.4950,22.3590,146.0770,92.5406,78.2728,72.3442,67.8575,64.9846,62.3497,59.9246,57.6852,54.8240,51.8920,47.1856,39.9596,31.0191,22.8038,11.2779,10.0811,11.1837,10.1677,12.7111,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
385.780,0.00000,0.99998,0.00000,1,12.7788,-0.0007,0.33272,0.00274,1580.6,0.0,5.6776,12.5004,22.4132,145.9190,92.4391,78.1869,72.2643,67.7825,64.9128,62.2807,59.8582,57.6213,54.7633,51.8344,47.1331,39.9163,30.9910,22.7896,11.2776,9.5388,11.9484,12.8836,10.5075,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
