timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
117.709,0.00000,0.99998,0.00000,1,5.3330,-0.0020,-0.33441,0.01049,942.5,0.0,10.4626,22.6165,34.1851,54.4807,85.1501,118.6890,150.3140,196.0460,200.0000,200.0000,200.0000,200.0000,200.0000,149.6090,66.5551,31.5704,17.3033,11.0274,5.1295,3.1392,5.6611,4.8964,5.4919,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.731,0.00000,0.99998,0.00000,1,5.7116,-0.0000,-0.33436,0.01049,942.5,0.0,10.4622,22.6145,34.1819,54.4804,85.1566,118.7140,150.3550,196.1280,200.0000,200.0000,200.0000,200.0000,200.0000,149.5180,66.5477,31.5783,17.3044,11.0290,5.1298,4.1846,5.2702,6.8800,4.1751,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.746,0.00000,0.99998,0.00000,1,6.0560,0.0000,-0.33436,0.01045,942.5,0.0,10.4617,22.6107,34.1733,54.4625,85.1208,118.6470,150.2560,195.9690,200.0000,200.0000,200.0000,200.0000,200.0000,149.7550,66.6115,31.5981,17.3104,11.0300,5.1302,5.5533,4.4953,4.4864,7.1692,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.768,0.00000,0.99998,0.00000,1,6.4004,-0.0000,-0.33434,0.01045,942.5,0.0,10.4614,22.6094,34.1713,54.4639,85.1299,118.6760,150.3110,196.0700,200.0000,200.0000,200.0000,200.0000,200.0000,149.6280,66.5992,31.6014,17.3106,11.0312,5.1304,4.8068,5.8341,7.4570,4.7973,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.790,0.00000,0.99998,0.00000,1,6.7448,0.0000,-0.33434,0.01040,942.5,0.0,10.4611,22.6054,34.1632,54.4458,85.0943,118.6100,150.2080,195.9100,200.0000,200.0000,200.0000,200.0000,200.0000,149.8670,66.6639,31.6211,17.3166,11.0324,5.1306,6.1129,5.1189,5.1078,7.7429,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.812,0.00000,0.99998,0.00000,1,7.0892,-0.0001,-0.33436,0.01040,942.5,0.0,10.4614,22.6046,34.1615,54.4477,85.1060,118.6410,150.2660,196.0120,200.0000,200.0000,200.0000,200.0000,200.0000,149.7380,66.6476,31.6256,17.3160,11.0320,5.1304,5.4350,6.3881,8.0295,5.4186,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.828,0.00000,0.99998,0.00000,1,7.4337,0.0001,-0.33436,0.01035,950.1,0.0,10.4607,22.6003,34.1523,54.4287,85.0681,118.5730,150.1620,195.8500,200.0000,200.0000,200.0000,200.0000,200.0000,149.9840,66.7145,31.6460,17.3221,11.0338,5.1305,6.6594,5.7549,5.7290,8.3130,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.851,0.00000,0.99998,0.00000,1,7.7809,-0.0001,-0.33441,0.01035,993.0,0.0,10.4610,22.5998,34.1508,54.4304,85.0786,118.6040,150.2180,195.9500,200.0000,200.0000,200.0000,200.0000,200.0000,149.8560,66.7010,31.6506,17.3217,11.0333,5.1304,6.0843,6.9238,8.6123,6.0663,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.866,0.00000,0.99998,0.00000,1,8.1338,0.0002,-0.33445,0.01030,1035.9,0.0,10.4608,22.5952,34.1422,54.4118,85.0418,118.5350,150.1160,195.7890,200.0000,200.0000,200.0000,200.0000,200.0000,150.1040,66.7657,31.6697,17.3268,11.0349,5.1302,7.1732,6.4421,6.4075,8.9052,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
117.889,0.00000,0.99998,0.00000,1,8.4917,-0.0006,-0.33452,0.01030,1078.2,0.0,10.4613,22.5952,34.1418,54.4158,85.0578,118.5780,150.1860,195.9150,200.0000,200.0000,200.0000,200.0000,200.0000,149.9420,66.7423,31.6721,17.3248,11.0338,5.1296,7.0056,7.2325,9.1940,6.7451,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
