time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
102.767,-0.0966,1.0000,0.0000,1,7.99,0.3327,0.0117,5236.0,0.0,5.7295,12.7902,23.3389,135.0990,88.5435,75.5922,70.1396,65.9857,63.3131,60.8530,58.5811,56.4771,53.7795,51.0049,46.5284,39.5100,30.6563,22.5387,11.1785
102.970,-0.0966,1.0000,0.0000,1,16.45,0.3295,0.0206,5236.0,0.0,5.8102,13.2830,26.7672,122.5320,82.6734,71.1674,66.2671,62.5106,60.0832,57.8418,55.7654,53.8370,51.3572,48.7974,44.6484,38.0224,29.6223,21.9293,11.0561
103.176,-0.0966,1.0000,0.0000,2,25.26,0.3221,0.0376,7270.9,0.0,5.9812,14.4396,200.0000,103.5720,73.1678,63.8572,59.8145,56.6834,54.6452,52.7523,50.9900,49.3452,47.2188,45.0105,41.4020,35.4005,27.7954,20.8343,10.8193
103.371,-0.0966,1.0000,0.0000,2,31.84,0.3065,0.0569,5236.0,0.0,6.2503,16.4672,200.0000,86.8378,63.8960,56.4894,53.2143,50.6530,48.9734,47.4052,45.9377,44.5617,42.7736,40.9050,37.7843,32.4401,25.7155,19.5515,10.5036
103.571,0.1161,1.0000,0.0000,2,38.21,0.2931,0.0217,5236.0,0.0,6.1330,14.9967,200.0000,110.2380,74.6404,64.3183,59.9154,56.5384,54.3547,52.3374,50.4681,48.7314,46.4972,44.1899,40.4482,34.5439,27.1773,20.4385,10.7021
103.771,0.0000,1.0000,0.0000,2,44.86,0.2920,0.0097,5565.4,0.0,6.0921,15.0159,200.0000,118.7760,77.3058,65.8705,61.0693,57.4165,55.0688,52.9096,50.9168,49.0723,46.7093,44.2809,40.3671,34.3503,27.0686,20.3992,10.7281
103.972,0.0000,1.0000,0.0000,2,52.46,0.2867,0.0138,7100.3,0.0,6.2345,16.2985,200.0000,112.6600,73.3357,62.4900,57.9361,54.4715,52.2446,50.1963,48.3061,46.5566,44.3151,42.0115,38.2986,32.6042,25.8384,19.6354,10.5350
104.170,0.0000,1.0000,0.0000,3,57.93,0.2744,0.0340,5530.4,0.0,6.4892,18.4571,200.0000,105.7750,68.8438,58.6600,54.3843,51.1312,49.0405,47.1174,45.3428,43.7003,41.5961,39.4334,35.9480,30.6028,24.3959,18.7047,10.2536
104.373,0.0000,1.0000,0.0000,3,63.61,0.2491,0.0561,6067.7,0.0,6.8964,22.3539,200.0000,98.2787,63.9469,54.4832,50.5103,47.4879,45.5455,43.7588,42.1101,40.5841,38.6293,36.6202,33.3826,28.4177,22.7686,17.6136,9.8689
104.579,0.1028,1.0000,0.0000,3,70.12,0.2048,0.0813,6812.4,0.0,7.5427,29.6050,200.0000,89.7372,58.3597,49.7160,46.0879,43.3282,41.5546,39.9235,38.4184,37.0252,35.2409,33.4070,30.4519,25.9210,20.8464,16.2777,9.3346
104.799,0.0000,1.0000,0.0000,3,77.81,0.1500,0.0752,7705.2,0.0,8.0139,28.4845,161.5020,127.3880,68.7657,55.9460,50.8989,47.1823,44.8471,42.7353,40.8165,39.0653,36.8563,34.6253,31.1105,25.9062,20.3586,15.7742,8.9594
105.021,0.0000,1.0000,0.0000,4,86.17,0.0732,0.1071,6997.5,0.0,9.1348,34.5072,200.0000,113.9190,61.1107,49.6498,45.1465,41.8331,39.7527,37.8722,36.1643,34.6062,32.6416,30.6580,27.5355,22.9162,17.9976,13.9804,8.1646
105.240,0.3184,1.0000,0.0000,4,90.10,-0.0316,0.1061,7050.8,0.0,10.1716,33.0178,97.1128,175.2240,77.0310,57.5632,50.7378,45.9754,43.0901,40.5487,38.2930,36.2777,33.7922,31.3438,27.6079,22.3321,17.0195,12.8948,7.3811
105.459,0.0000,1.0000,0.0000,4,96.08,-0.1211,0.0988,7450.1,0.0,10.6626,29.6604,63.2301,192.2460,156.7080,89.0894,72.1186,61.8236,56.1076,51.3627,47.3611,43.9411,39.9113,36.1311,30.6962,23.6365,17.1662,12.5302,6.7972
105.680,0.3490,1.0000,0.0000,4,102.50,-0.2252,0.1009,7968.9,0.0,11.6262,32.1432,67.8399,185.3900,148.7990,81.2722,65.3521,55.7972,50.5252,46.1668,42.5035,39.3816,35.7138,32.2834,27.3691,21.0162,15.2240,11.0913,6.0004
105.901,0.0000,1.0000,0.0000,4,109.03,-0.2847,0.0063,8532.4,0.0,10.9703,24.1168,38.2045,66.6617,121.4100,184.5770,178.6740,173.3360,169.0830,164.3000,158.6770,151.3560,119.4020,86.0180,56.4546,33.5025,20.0499,12.9463,6.0316
106.120,0.0000,1.0000,0.0000,4,116.40,-0.2969,0.0050,9107.4,0.0,11.0608,24.2575,38.3383,66.5900,120.2330,177.4320,171.7380,166.5960,162.5290,157.9940,152.7480,146.1850,121.5310,86.6894,56.4029,33.2478,19.8190,12.7700,5.9358
106.339,0.0000,1.0000,0.0000,5,121.93,-0.3035,0.0050,8140.9,0.0,11.1164,24.3782,38.5273,66.9125,120.7950,169.3480,163.9000,158.9230,155.0050,150.6640,145.6930,139.6110,120.4820,85.9246,55.8956,32.9444,19.6366,12.6520,5.8807
106.559,0.0000,1.0000,0.0000,5,127.77,-0.3099,0.0050,8859.9,0.0,11.1709,24.4980,38.7169,67.2428,171.6970,160.9400,155.7410,150.9390,147.1790,143.0400,138.3500,132.7310,119.2020,85.1293,55.3799,32.6412,19.4561,12.5358,5.8267
106.780,0.0000,1.0000,0.0000,5,134.18,-0.3166,0.0050,9309.7,0.0,11.2281,24.6234,38.9151,67.5870,162.2790,152.1120,147.1630,142.5510,138.9600,135.0360,130.6360,125.4750,114.8290,84.3023,54.8419,32.3241,19.2671,12.4140,5.7701
106.998,0.0000,1.0000,0.0000,5,140.79,-0.3236,0.0050,9756.5,0.0,11.2882,24.7552,39.1233,67.9486,152.3910,142.8430,138.1440,133.7380,130.3290,126.6320,122.5330,117.8220,108.9470,83.4333,54.2766,31.9909,19.0685,12.2860,5.7106
107.219,0.0000,1.0000,0.0000,5,147.28,-0.3310,0.0050,10186.9,0.0,11.3511,24.8932,39.3415,68.3276,142.0310,133.1330,128.6820,124.4980,121.2850,117.8270,114.0390,109.7710,102.2450,82.5226,53.6842,31.6417,18.8604,12.1519,5.6483
107.440,0.0000,1.0000,0.0000,6,152.40,-0.3387,0.0050,9651.4,0.0,11.4168,25.0372,39.5691,68.7230,131.2170,122.9960,118.7880,114.8450,111.8410,108.6360,105.1680,101.3350,94.9196,81.5725,53.0662,31.2775,18.6433,12.0121,5.5833
107.660,0.0000,1.0000,0.0000,6,156.94,-0.3466,0.0050,9890.8,0.0,11.4842,25.1851,39.8029,69.1293,120.1250,112.5870,108.6210,104.9360,102.1520,99.2086,96.0641,92.6513,87.1779,78.6057,52.4314,30.9036,18.4205,11.8685,5.5166
107.880,0.0000,1.0000,0.0000,6,162.40,-0.3548,0.0050,10221.6,0.0,11.5540,25.3381,40.0448,72.6511,108.6420,101.7740,98.0736,94.6677,92.1175,89.4486,86.6338,83.6329,78.9901,72.5551,51.7746,30.5165,18.1898,11.7199,5.4475
108.098,0.0000,1.0000,0.0000,6,167.72,-0.3632,0.0050,10545.4,0.0,11.6261,25.4963,40.2948,111.9630,96.7713,90.5541,87.1465,84.0422,81.7418,79.3594,76.8801,74.2825,70.3864,65.3767,51.0959,30.1165,17.9514,11.5663,5.3761
108.318,0.0000,1.0000,0.0000,6,172.93,-0.3720,0.0050,10859.1,0.0,11.7005,25.6596,40.5529,97.7906,84.5217,78.9267,75.8423,73.0657,71.0312,68.9483,66.8098,64.6070,61.3915,57.4695,48.8221,29.7035,17.7053,11.4077,5.3024
108.540,0.0000,1.0000,0.0000,6,178.00,-0.3810,0.0050,11169.0,0.0,11.7772,25.8278,43.4369,83.1908,71.8954,66.8898,64.1647,61.7447,59.9941,58.2234,56.4308,54.6143,52.0258,48.9916,43.0077,29.2782,17.4518,11.2444,5.2265
108.760,0.0000,1.0000,0.0000,6,182.23,-0.3345,-0.0994,11495.8,0.0,10.3481,19.1661,26.5262,101.8450,82.2289,75.0739,71.7634,69.1079,67.3343,65.6544,64.0611,62.5478,60.5349,58.2534,53.9802,45.5005,31.9410,17.3491,6.3033
108.979,0.0000,1.0000,0.0000,6,187.13,-0.1661,-0.0977,11720.4,0.0,9.0545,17.1129,28.5983,83.2023,67.2820,61.4628,58.7682,56.6058,55.1611,53.7922,52.4936,51.2600,49.6262,47.8042,44.4712,38.1908,29.1509,19.9524,7.8825
109.201,0.5255,1.0000,0.0000,6,191.34,0.0301,-0.1393,12058.4,0.0,7.4452,15.4372,171.4790,83.4522,63.9677,57.3315,54.3398,51.9750,50.4125,48.9449,47.5637,46.2619,44.5601,42.7698,39.7933,34.7550,27.7404,20.6145,9.7230
109.419,0.4097,1.0000,0.0000,6,194.39,0.2625,-0.1229,12185.9,0.0,5.7090,11.6287,21.7193,200.0000,110.7390,88.1306,79.4962,73.2300,69.3328,65.8341,62.6762,59.8117,56.2215,52.6215,47.0032,38.8006,30.2060,23.0707,11.5815
109.639,0.0000,1.0000,0.0000,6,197.60,0.4301,-0.0754,12438.2,0.0,4.5822,9.9538,18.5575,54.7456,200.0000,200.0000,198.9370,159.0590,138.9300,123.3320,110.8900,100.7360,89.2988,79.0558,65.0918,48.1771,33.7692,24.0282,12.4251
109.859,0.0000,1.0000,0.0000,6,202.07,0.4120,0.0788,12809.7,0.0,5.4777,14.5099,28.6752,97.9699,200.0000,190.5340,150.0470,123.4050,109.5240,98.4570,89.4274,81.9205,73.3141,65.4659,54.5469,40.9694,29.0886,20.8862,11.0727
110.078,0.0000,1.0000,0.0000,6,206.23,0.2590,0.0126,12943.9,0.0,6.3681,14.1759,22.7340,40.6606,77.7692,143.3550,199.8410,196.9650,194.6150,191.9390,188.8060,184.9390,175.7990,134.3700,91.7491,56.2150,34.3008,22.3849,10.5511
